"Revenue","other","Private","Public"
"10 to 50 million",0.250030457553175,0.749969539013894,3.43293133118078e-09
"50 to 100 million",2.81342248069692e-08,0.999999971301079,5.64696570117273e-10
"100 to 500 million",3.24640478521352e-07,0.999999646356113,2.90034081592622e-08
"500 million to 1 billion",5.15796234172889e-12,0.89999572805925,0.100004271935591
"1 to 5 billion",0.0833298874668995,0.895838651849306,0.0208314606837944
"5 to 10 billion",0.125005282810308,0.749996526227645,0.124998190962048
"10 to 50 billion",0.20482074535516,0.602406902339576,0.192772352305264
"50 to 100 billion",0.133332374464624,0.333335195636393,0.533332429898982
"100 to 500 billion",0.172837191792098,0.345677605432989,0.481485202774913
"500+ billion",0.114585006836378,0.166668041592009,0.718746951571614
"Unknown / Non-Applicable",0.0871787756872625,0.820513622201112,0.0923076021116256
